#,Name,Type,Generation,Legendary
1,Bulbasaur,Grass-Poison,1,FALSE
2,Ivysaur,Grass-Poison,1,FALSE
3,Venusaur,Grass-Poison,1,FALSE
3,VenusaurMega Venusaur,Grass-Poison,1,FALSE
4,Charmander,Fire,1,FALSE
5,Charmeleon,Fire,1,FALSE
6,Charizard,Fire-Flying,1,FALSE
6,CharizardMega Charizard X,Fire-Dragon,1,FALSE
6,CharizardMega Charizard Y,Fire-Flying,1,FALSE
7,Squirtle,Water,1,FALSE
8,Wartortle,Water,1,FALSE
9,Blastoise,Water,1,FALSE
9,BlastoiseMega Blastoise,Water,1,FALSE
10,Caterpie,Bug,1,FALSE
11,Metapod,Bug,1,FALSE
12,Butterfree,Bug-Flying,1,FALSE
13,Weedle,Bug-Poison,1,FALSE
16,Pidgey,Normal-Flying,1,FALSE
19,Rattata,Normal,1,FALSE
20,Raticate,Normal,1,FALSE
21,Spearow,Normal-Flying,1,FALSE
22,Fearow,Normal-Flying,1,FALSE
23,Ekans,Poison,1,FALSE
43,Oddish,Grass-Poison,1,FALSE
44,Gloom,Grass-Poison,1,FALSE
45,Vileplume,Grass-Poison,1,FALSE
46,Paras,Bug-Grass,1,FALSE
47,Parasect,Bug-Grass,1,FALSE
48,Venonat,Bug-Poison,1,FALSE
49,Venomoth,Bug-Poison,1,FALSE
62,Poliwrath,Water-Fighting,1,FALSE
63,Abra,Psychic,1,FALSE
68,Machamp,Fighting,1,FALSE
69,Bellsprout,Grass-Poison,1,FALSE
70,Weepinbell,Grass-Poison,1,FALSE
71,Victreebel,Grass-Poison,1,FALSE
72,Tentacool,Water-Poison,1,FALSE
73,Tentacruel,Water-Poison,1,FALSE
74,Geodude,Rock-Ground,1,FALSE
79,Slowpoke,Water-Psychic,1,FALSE
85,Dodrio,Normal-Flying,1,FALSE
86,Seel,Water,1,FALSE
87,Dewgong,Water-Ice,1,FALSE
94,GengarMega Gengar,Ghost-Poison,1,FALSE
95,Onix,Rock-Ground,1,FALSE
109,Koffing,Poison,1,FALSE
110,Weezing,Poison,1,FALSE
111,Rhyhorn,Ground-Rock,1,FALSE
121,Starmie,Water-Psychic,1,FALSE
122,Mr. Mime,Psychic-Fairy,1,FALSE
123,Scyther,Bug-Flying,1,FALSE
124,Jynx,Ice-Psychic,1,FALSE
125,Electabuzz,Electric,1,FALSE
126,Magmar,Fire,1,FALSE
127,Pinsir,Bug,1,FALSE
127,PinsirMega Pinsir,Bug-Flying,1,FALSE
128,Tauros,Normal,1,FALSE
129,Magikarp,Water,1,FALSE
130,Gyarados,Water-Flying,1,FALSE
130,GyaradosMega Gyarados,Water-Dark,1,FALSE
131,Lapras,Water-Ice,1,FALSE
137,Porygon,Normal,1,FALSE
138,Omanyte,Rock-Water,1,FALSE
142,AerodactylMega Aerodactyl,Rock-Flying,1,FALSE
143,Snorlax,Normal,1,FALSE
144,Articuno,Ice-Flying,1,TRUE
145,Zapdos,Electric-Flying,1,TRUE
146,Moltres,Fire-Flying,1,TRUE
147,Dratini,Dragon,1,FALSE
148,Dragonair,Dragon,1,FALSE
149,Dragonite,Dragon-Flying,1,FALSE
150,Mewtwo,Psychic,1,TRUE
150,MewtwoMega Mewtwo X,Psychic-Fighting,1,TRUE
246,Larvitar,Rock-Ground,2,FALSE
711,GourgeistSuper Size,Ghost-Grass,6,FALSE
719,DiancieMega Diancie,Rock-Fairy,6,TRUE
720,HoopaHoopa Confined,Psychic-Ghost,6,TRUE
720,HoopaHoopa Unbound,Psychic-Dark,6,TRUE
721,Volcanion,Fire-Water,6,TRUE
